# time scale_factor entropy
18.960000 34210725118152480.000000 4524063630831105.000000
18.980000 34541503509957548.000000 5907207422481404.000000
19.000000 34845987692095224.000000 7284444006709220.000000
19.020000 35123460815691240.000000 8654396146930328.000000
19.040000 35373253661164484.000000 10015693891004506.000000
19.060000 35594744276534840.000000 11366975941187678.000000
19.080000 35787357620009016.000000 12706891015429662.000000
19.100000 35950565204624520.000000 14034099198656216.000000
19.120000 36083884742858672.000000 15347273282684116.000000
19.140000 36186879789232080.000000 16645100093429336.000000
19.160000 36259159379054256.000000 17926281804081116.000000
19.180000 36300377661573480.000000 19189537232928824.000000
19.200000 36310233525903432.000000 20433603124543600.000000
19.220000 36288470218206160.000000 21657235413033832.000000
19.240000 36234874948714432.000000 22859210466111032.000000
19.260000 36149278487276552.000000 24038326308722116.000000
19.280000 36031554746203832.000000 25193403825024480.000000
19.300000 35881620349294720.000000 26323287937501824.000000
19.320000 35699434186000636.000000 27426848762041660.000000
19.340000 35484996949786656.000000 28502982737819460.000000
19.360000 35238350659825684.000000 29550613730859440.000000
19.380000 34959578165247552.000000 30568694110168560.000000
19.400000 34648802631244696.000000 31556205795367504.000000
19.420000 34306187006414096.000000 32512161274771088.000000
19.440000 33931933470790408.000000 33435604592899896.000000
19.460000 33526282864098592.000000 34325612306435808.000000
19.480000 33089514093825200.000000 35181294407665292.000000
19.500000 32621943522776384.000000 36001795214487096.000000
19.520000 32123924335857272.000000 36786294226094416.000000
19.540000 31595845885872160.000000 37534006943475648.000000
19.560000 31038133018207540.000000 38244185653913392.000000
19.580000 30451245374320756.000000 38916120178697240.000000
19.600000 29835676674015892.000000 39549138583302376.000000
19.620000 29191953976545444.000000 40142607849324224.000000
19.640000 28520636920631464.000000 40695934507496736.000000
19.660000 27822316943553208.000000 41208565231161752.000000
19.680000 27097616479499940.000000 41679987389595616.000000
19.700000 26347188137437284.000000 42109729560639880.000000
19.720000 25571713858783800.000000 42497362002123496.000000
19.740000 24771904055240808.000000 42842497081604992.000000
19.760000 23948496727163392.000000 43144789664004880.000000
19.780000 23102256562903584.000000 43403937456740776.000000
19.800000 22233974019598408.000000 43619681312019920.000000
19.820000 21344464385915292.000000 43791805485987048.000000
19.840000 20434566827305836.000000 43920137854468192.000000
19.860000 19505143414355668.000000 44004550085094864.000000
19.880000 18557078134853412.000000 44044957765636448.000000
19.900000 17667172565986026.000000 44041320488412384.000000
19.920000 16886864556314948.000000 43993641890699912.000000
19.940000 16210571177261734.000000 43901969651096736.000000
19.960000 15632923647446726.000000 43766395441842472.000000
19.980000 15148756793378970.000000 43587054837146360.000000
20.000000 14753099101942794.000000 43364127177613104.000000
20.020000 14441163334858390.000000 43097835390902240.000000
20.040000 14208337676720156.000000 42788445768800464.000000
20.060000 14050177389572178.000000 42436267700929888.000000
20.080000 13962396948268254.000000 42041653365358384.000000
20.100000 13940862632088008.000000 41604997376421520.000000
20.120000 13981585549244022.000000 41126736390108256.000000
20.140000 14080715072020724.000000 40607348667404848.000000
20.160000 14234532661336842.000000 40047353596034064.000000
20.180000 14439446060522486.000000 39447311171067232.000000
20.200000 14691983839051928.000000 38807821434929328.000000
20.220000 14988790267876420.000000 38129523877356512.000000
20.240000 15326620508860434.000000 37413096795906320.000000
20.260000 15702336101641618.000000 36659256617660240.000000
20.280000 16112900732011886.000000 35868757182796492.000000
20.300000 16555376266656332.000000 35042388990749940.000000
20.320000 17026919039790004.000000 34180978409712644.000000
20.340000 17524776377901976.000000 33285386850265636.000000
20.360000 18046283349453228.000000 32356509903968364.000000
20.380000 18588859726981352.000000 31395276447767120.000000
20.400000 19150007149642500.000000 30402647715118112.000000
20.420000 19727306474771016.000000 29379616334753988.000000
20.440000 20318415307560912.000000 28327205338055108.000000
20.460000 20921065698472596.000000 27246467136018164.000000
20.480000 21533061998443692.000000 26138482466845216.000000
20.500000 22152278862436332.000000 25004359315205408.000000
20.520000 22776659392285524.000000 23845231804250408.000000
20.540000 23404213410225468.000000 22662259061491148.000000
20.560000 24033015854864072.000000 21456624059670404.000000
20.580000 24661205291751256.000000 20229532433789988.000000
20.600000 25286982531044960.000000 18982211275475776.000000
20.620000 25908609345120976.000000 17715907905886096.000000
20.640000 26524407279299560.000000 16431888628390522.000000
20.660000 27132756549174148.000000 15131437462266566.000000
20.680000 27732095018326100.000000 13815854858680338.000000
20.700000 28320917250494936.000000 12486456400235432.000000
20.720000 28897773630546732.000000 11144571485390292.000000
20.740000 29461269548844764.000000 9791541999059760.000000
20.760000 30010064643876888.000000 8428720970730168.000000
20.780000 30542872098233928.000000 7057471221429844.000000
20.800000 31058457983263088.000000 5679164000908093.000000
20.820000 31555640647940820.000000 4295177616385433.000000
20.840000 32033290147720852.000000 2906896054246387.000000
20.860000 32490327709315900.000000 1515707596053095.000000
20.880000 32925725227566224.000000 123003430263749.921875
20.900000 33338504790735348.000000 1269823738955859.000000
20.920000 33727738230752784.000000 2661381084436512.000000
20.940000 34092546695096564.000000 4050277048832728.500000
20.960000 34432100237174488.000000 5435122736180112.000000
20.980000 34745617422223016.000000 6814533300791315.000000
21.000000 35032364945896708.000000 8187129332101728.000000
21.020000 35291657262869524.000000 9551538234080038.000000
21.040000 35522856222912240.000000 10906395597824268.000000
21.060000 35725370712048176.000000 12250346565970676.000000
21.080000 35898656296522384.000000 13582047187551112.000000
21.100000 36042214867447880.000000 14900165761943994.000000
21.120000 36155594284116344.000000 16203384170574938.000000
21.140000 36238388014080584.000000 17490399195035302.000000
21.160000 36290234768231648.000000 18759923820300632.000000
21.180000 36310818129205336.000000 20010688521745664.000000
21.200000 36299866171561136.000000 21241442534668944.000000
21.220000 36257151072281120.000000 22450955105057560.000000
21.240000 36182488710237784.000000 23638016720341116.000000
21.260000 36075738253377720.000000 24801440318904336.000000
21.280000 35936801732463116.000000 25940062477148648.000000
21.300000 35765623600304944.000000 27052744572915804.000000
21.320000 35562190275510920.000000 28138373924110056.000000
21.340000 35326529669857608.000000 29195864901380192.000000
21.360000 35058710698479860.000000 30224160013748952.000000
21.380000 34758842772151772.000000 31222230966103960.000000
21.400000 34427075271012272.000000 32189079687492864.000000
21.420000 34063596999164464.000000 33123739329194276.000000
21.440000 33668635619652056.000000 34025275231566496.000000
21.460000 33242457069387836.000000 34892785858707144.000000
21.480000 32785364953678676.000000 35725403699989088.000000
21.500000 32297699920059056.000000 36522296137571040.000000
21.520000 31779839011210440.000000 37282666279015424.000000
21.540000 31232194996807124.000000 38005753754180792.000000
21.560000 30655215684190688.000000 38690835475591976.000000
21.580000 30049383207834560.000000 39337226361527576.000000
21.600000 29415213297617872.000000 39944280021101648.000000
21.620000 28753254525983476.000000 40511389400654616.000000
21.640000 28064087534109012.000000 41037987390806920.000000
21.660000 27348324237272060.000000 41523547393568424.000000
21.680000 26606607009640872.000000 41967583848936352.000000
21.700000 25839607848770932.000000 42369652720455360.000000
21.720000 25048027520134564.000000 42729351939253904.000000
21.740000 24232594682056288.000000 43046321806113192.000000
21.760000 23394064991470268.000000 43320245351166368.000000
21.780000 22533220190958376.000000 43550848650868384.000000
21.800000 21650867177567844.000000 43737901101919528.000000
21.820000 20747837053946448.000000 43881215651868752.000000
21.840000 19824984162370472.000000 43980648986166096.000000
21.860000 18883185102276524.000000 44036101671477288.000000
21.880000 17954713962382914.000000 44047518255116992.000000
21.900000 17137788954613560.000000 44014887320501600.000000
21.920000 16426751961671900.000000 43938241498565680.000000
21.940000 15816162730361758.000000 43817657435131216.000000
21.960000 15300788124234786.000000 43653255714261608.000000
21.980000 14875591978501434.000000 43445200737677744.000000
22.000000 14535725526881542.000000 43193700560356200.000000
22.020000 14276518371522132.000000 42899006682474304.000000
22.040000 14093469968489194.000000 42561413797909920.000000
22.060000 13982241602650864.000000 42181259499547640.000000
22.080000 13938648827014824.000000 41758923941685800.000000
22.100000 13958654342766464.000000 41294829459882288.000000
22.120000 14038361297379296.000000 40789440148618880.000000
22.140000 14174006979238510.000000 40243261397206864.000000
22.160000 14361956888235060.000000 39656839384397640.000000
22.180000 14598699162754118.000000 39030760532204024.000000
22.200000 14880839344400630.000000 38365650919478192.000000
22.220000 15205095462678438.000000 37662175655832880.000000
22.240000 15568293422670480.000000 36921038216531744.000000
22.260000 15967362679557920.000000 36142979739014080.000000
22.280000 16399332184567964.000000 35328778281757388.000000
22.300000 16861326587655496.000000 34479248046218948.000000
22.320000 17350562682904322.000000 33595238562634288.000000
22.340000 17864346083281750.000000 32677633840486992.000000
22.360000 18400068111996824.000000 31727351484499204.000000
22.380000 18955202898299784.000000 30745341777026928.000000
